id,nombre,descripcion,imagen,stock,fecha_creacion,categoria_id,precio
14,Saco NATH Dog Adulto 25kg,Alimento balanceado para perros adultos. Favorece la salud y energía de tu mascota.,productos/card-nathDogAdult25.jpg,15,2024-06-23 05:05:24.683576,1,10000
15,Saco NATH Dog Medium 25kg,Nutrición completa para perros de tamaño mediano. Mantiene su vitalidad.,productos/card-nathDogMedium25.jpg,16,2024-06-23 05:06:03.537002,1,15000
16,Saco Nutrience Dog Adulto 25kg,Fórmula avanzada para perros adultos. Promueve una vida saludable y activa.,productos/card-nutrienceDog.png,17000,2024-06-23 05:06:46.698066,1,23000
17,Saco N&D Dog Medium 25kg,Comida premium para perros medianos. Ingredientes naturales y nutritivos.,productos/card-nydMediumDog25.jpg,15,2024-06-23 05:07:14.320131,1,18000
18,Saco OVEN Dog Small,Alimento horneado para perros pequeños. Rico en sabor y fácil de digerir.,productos/card-ovenSmallDog_DivCQIu.png,8,2024-06-23 05:07:38.544428,1,18000
19,Saco Purina PRO-PLAN Dog Adulto Pequeño,Nutrición óptima para perros adultos pequeños. Refuerza su sistema inmunológico.,productos/card-proplanAdulDogSmallBomba_hwGgyFR.jpg,13,2024-06-23 05:08:19.729336,1,28990
20,Saco Purina PRO-PLAN Dog Adulto Grande,Alimentación completa para perros adultos grandes. Apoya articulaciones fuertes.,productos/card-proplanDogBomba_ewqcvwM.jpg,12,2024-06-23 05:08:54.017524,1,28990
21,Saco Royal Canin Dog Chiguagua,Fórmula especial para Chihuahuas. Tamaño de croquetas adaptado y gran sabor.,productos/card-royalcaninChihuahuaDog.jpg,5,2024-06-23 05:09:34.787267,1,19990
22,Saco Royal Canin Dog Adulto Grande,Comida para perros adultos grandes. Mantiene músculos y huesos fuertes.,productos/card-royalcaninMaxiDogBomba.jpg,8,2024-06-23 05:10:01.725947,1,24990
23,Saco Royal Canin Dog Cachorro Pequeño,Nutrición para cachorros pequeños. Apoya el crecimiento y desarrollo saludable.,productos/card-royalcaninMiniDog25.jpg,6,2024-06-23 05:10:37.011661,1,21990
24,Taste Of Wild Dog 25kg,Alimento premium para perros. Inspirado en la dieta ancestral de tu mascota.,productos/card-tasteofDog25_xHCviTz.jpg,4,2024-06-23 05:12:36.163220,1,21990
25,Wellness Core Adult Dog 25kg,Nutrición natural para perros adultos. Alta en proteínas y sin granos.,productos/card-wellnesAdultDog25_EAIoLO8.jpg,3,2024-06-23 05:13:05.962558,1,14990
26,Saco Bravery Cat Adulto,Alimento premium para gatos adultos. Fórmula equilibrada y nutritiva.,productos/card-braveryCatAdult.jpg,8,2024-06-23 05:23:43.654450,2,12000
27,Saco Fit Formula Cat Adulto,Nutrición completa para gatos adultos. Mantiene su salud y vitalidad.,productos/card-fitCatAdulto.jpg,8,2024-06-23 05:24:14.225765,2,16000
28,Saco Hills Cat Adulto,Comida balanceada para gatos adultos. Apoya la salud general y el bienestar.,productos/card-hillCatAdult.jpg,9,2024-06-23 05:24:45.517983,2,20000
29,Saco Hills Cat Adulto Control,Fórmula especial para control de peso en gatos adultos. Nutrición efectiva.,productos/card-hillCatAdultControl.jpg,11,2024-06-23 05:25:11.635191,2,21000
30,Saco Leonardo Cat Adulto,Alimento de calidad para gatos adultos. Ingredientes seleccionados y naturales.,productos/card-leonardoCatAdult.png,13,2024-06-23 05:25:41.433106,2,21990
